SUPP_ID,SUPP_NAME,COUNTRY_NAME,SUPP_CITY,SUPP_ADDR,DEBAR_FROM_DATE,DEBAR_TO_DATE,DEBAR_REASON,SUPP_ELIG_STAT,INELIGIBLY_STATUS,LAST_REFRESH_DATE
319320,"XINJINZHU MUNICIPAL LANDSCAPING ENGINEERING CO., LTD.",China,"ZHENGZHOU, HENAN PROVINCE, 450002","15TH FLOOR, TAIHONG YANGGUANG BUILDING, INTERSECTION OF ZHONGZHOU AVENUE AND XINYUAN ROAD",2015-07-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
320899,CONSTRUCTORA ARTEAGA S.R.L. (CONARTE S.R.L.),Bolivia,LA PAZ,"CALLE 9 N° 455 EDIFICIO: EL ZODIACO, PISO: 2, OFICINA: 201, ZONA: OBRAJES",2017-06-16,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)-(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
322603,MR. NGUYEN PHUONG QUY,Viet Nam,HANOI,"TOWER CENTER OFFICE BUILDING,NO. 83A LY THUONG KIET STREET,DISTRICT HOAN KIEM",2015-12-15,2026-12-14,"Consult. Guidelines, 1.22(a)(ii); Proc. Guidelines, 1.14(a)(ii)-(iii)",DEBARRED,,2026-09-23T05:00:01.779Z
323086,KUVASOY TAMIR KURLISH LLC,Uzbekistan,TASHKENT CITY,"125 NEMAT BERK STREET, MIRZO ULUGBEK DISTRICT",2018-06-13,2999-12-31,"Jan. 2011 Procurement Guidelines, Paras. 1.16(a)(ii) & 1.16(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
322778,FAR KURLISH MONTAJ INVEST,Uzbekistan,FERGANA REGION,"3A SH. RASHIDOV STREET, FERGANA DISTRICT",2017-06-13,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)-(iii)-(iv)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
321259,ECOGRAPH LLC,Mongolia,ULANBATAAR,"BUILDING OF MONGOL ENGINEER CO. LTD., KHOROO 20, BAYANGOL DISTRICT",2015-10-15,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
321732,"HUNAN CONSTRUCTION GROUP CO., LTD.",China,"CHANGSHA, HUNAN 410007","LAST KNOWN ADDRESS: 70 NORTH CHEZHAN ROAD, WAN XIANG XIN TIAN BUILDING, FURONG DISTRICT",2016-01-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
319343,MR. MANUEL MONTARROSO,Spain,MADRID 28021,"AVENIDA REAL DE PINTO, 146",2015-07-10,2999-12-31,"Procurement Guidelines, 1.14(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
320900,"INTERNATIONAL EPIROTIC CONSTRUCTION AND TRADING S.A., D.I.T.E. SA",Greece,IOANNINA-ATHENS 45500,10TH KM. NATIONAL HIGHWAY,2015-09-25,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
319341,"XINJINZHU MUNICIPAL LANDSCAPING ENGINEERING CO., LTD.",China,"HUANGCHUAN, HENAN PROVINCE, 465150","5TH FLOOR, JINZHU BUILDING, NORTH OF THE NEW BRIDGE",2015-07-14,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
